ID,Lat,Long,Name
L119,34.2021187,-118.209898,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipNlPE-a_LM86qHexdalhEDSxwhD1kmIyCRlS0dK=w408-h306-k-no"" , ""link"")"
L120,34.2704609,-118.1532737,,default
L121,34.1636793,-118.166328,,default
L122,34.2027365,-118.2119085,,default
L123,34.15093900000001,-118.1436011,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sntWhDsUb6SJBsV23fRy7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.09952&pitch=0&thumbfov=100"" , ""link"")"
L124,34.1462337,-118.1209634,,default
L125,34.146233,-118.1206178,,default
L126,34.1464329,-118.1262233,,default
L127,34.1508899,-118.1440402,,default
L128,34.1466518,-118.1292443,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_gEDsosQnuJXaDtD0XbjRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.716736&pitch=0&thumbfov=100"" , ""link"")"
L129,34.146232,-118.1253232,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B9h6RAtLzambk5s8vmoNzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.955547&pitch=0&thumbfov=100"" , ""link"")"
L130,34.14632539999999,-118.1269192,,default
L131,34.1462097,-118.1257742,,default
L132,34.1464306,-118.1284036,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pPDL8Uczz3Zhm_53MTtL1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.2483&pitch=0&thumbfov=100"" , ""link"")"
L133,34.1465825,-118.1295448,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipOda9mlxEstrreYcsOl-tv6bQ3K6olRwwGmFqEW=w438-h240-k-no"" , ""link"")"
L134,34.1468672,-118.1313574,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g38PDY5YopTUyUlRw5Qn6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.14063&pitch=0&thumbfov=100"" , ""link"")"
L135,34.1501019,-118.1426285,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dZANUUEZxJRp9R80RRAlQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.92526&pitch=0&thumbfov=100"" , ""link"")"
L136,34.1491107,-118.140279,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MWBtOSAy6pB76ppk_aNh3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.69044&pitch=0&thumbfov=100"" , ""link"")"
L137,34.1464399,-118.1128165,,default
L138,34.1465486,-118.1310397,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=88Wv_SR3cnHEKJx89FtdYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.97427&pitch=0&thumbfov=100"" , ""link"")"
L139,34.1504157,-118.1441774,,default
L140,34.14719669999999,-118.1345812,,default
L141,34.1627392,-118.09728,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GCDx77gDmmS_FAIVaTkZhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.84036&pitch=0&thumbfov=100"" , ""link"")"
L142,34.1595786,-118.0959908,,default
L143,34.1611728,-118.0934466,,default
L144,34.1508031,-118.1327948,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sLEZlGcaMwZ3Ys4nyd6hGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.372063&pitch=0&thumbfov=100"" , ""link"")"
L145,34.1490107,-118.1318596,,default
L146,34.1489867,-118.1334122,,default
L147,34.1500224,-118.1374176,,default
L148,34.1500162,-118.1374119,,default
L149,34.149238,-118.1351491,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g7oQTxaTkh_pc90bMOSJJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.23249&pitch=0&thumbfov=100"" , ""link"")"
L150,34.14848979999999,-118.1320405,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d8i4eRUuC52oOrJc0lUz_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.9273&pitch=0&thumbfov=100"" , ""link"")"
L151,34.1484795,-118.1333934,,default
L152,34.1491726,-118.1388747,,default
L153,34.1611362,-118.2001191,,default
L154,34.1576659,-118.2037748,,default
L155,34.1498246,-118.1501695,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5rXV525ZbzL4a6H3B4JCDQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=41.275784&pitch=0&thumbfov=100"" , ""link"")"
L156,34.1487598,-118.1527709,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipO5_EH0a7qT759yb7dUSyQHPA1gfjA6TyJikGl6=w408-h240-k-no-pi-0-ya97-ro-0-fo100"" , ""link"")"
L157,34.1499766,-118.1482287,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K62nLD7Dy8-B_iwDNs_piQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=203.9284&pitch=0&thumbfov=100"" , ""link"")"
L158,34.1485883,-118.1525068,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipO5_EH0a7qT759yb7dUSyQHPA1gfjA6TyJikGl6=w408-h240-k-no-pi-0-ya97-ro-0-fo100"" , ""link"")"
